Name,Link,Gen,Bloodline,Complete Rating,Speed Rating,Sprint Rating,Endurance Rating,Matchmaking Rating,Latest Odds,Races Ran,Win Percentage,AVG Time,Best Time,Q1 Pos x/8,Q2 Pos x/8,Q3 Pos x/8,Q4 Pos x/8
Unique Monkey,https://app.zedchampions.com/horse/62270b55-2c76-49ba-a1ab-53a6ea4f2003,34,NAKAMOTO,3.5,3.5,-,-,990,7.2,6,0%,40.72s,40.34s,2.3,2.7,3.7,4.5
Untroubled Andromeda,https://app.zedchampions.com/horse/28675dd2-3f15-481e-9593-0f5041f3764a,2,NAKAMOTO,3,-,-,-,980,9.4,4,0%,41.01s,40.80s,4.5,4.3,3.0,5.3
Versatile Seamstress,https://app.zedchampions.com/horse/130e961c-4838-4c28-adc4-84b0b4e3e440,34,NAKAMOTO,3.5,4,-,-,962,2.55,6,0%,40.72s,40.25s,6.2,7.0,5.3,4.5
Vigorous Parsnip,https://app.zedchampions.com/horse/f9249931-b88b-4fc5-8111-3b75103f6bf7,25,NAKAMOTO,3,3,-,-,948,6.6,5,0%,40.98s,40.89s,1.4,1.4,2.0,5.2
Wei Diamond,https://app.zedchampions.com/horse/b13a4c31-183c-4a02-9fab-0eae9ae9a6fd,34,NAKAMOTO,4,4.5,-,-,981,5.4,6,0%,40.39s,40.26s,1.8,2.8,2.3,4.3
Whoops a Cut,https://app.zedchampions.com/horse/2bf24dca-2e65-4430-bf0b-646e77cf26bd,31,FINNEY,4,4.5,4.5,3,1207,4.7,26,15%,40.02s,39.30s,4.1,4.1,2.2,3.6
Whoops Kaboom,https://app.zedchampions.com/horse/f652f062-cfc4-4fa9-b610-73092a1aaa6e,10,SZABO,4,3.5,-,-,1080,14,7,14%,40.16s,39.73s,3.4,4.0,5.3,3.1
Wonderful Time,https://app.zedchampions.com/horse/dde8a67d-4be5-44a9-8686-76ad9c647a29,30,NAKAMOTO,3.5,3.5,-,-,1072,11.5,7,29%,40.30s,39.46s,2.3,3.6,6.6,3.6
Yoyu,https://app.zedchampions.com/horse/499aa1d6-dd9c-4fa1-9181-57cd1087e043,21,FINNEY,4,4,4.5,-,1080,10,10,20%,40.27s,39.47s,3.5,5.3,3.9,3.8
Yoyu 9,https://app.zedchampions.com/horse/4c293c98-9ea5-49bb-a5d0-f3126297a7b2,22,FINNEY,3.5,4,-,-,1023,2.95,6,17%,40.59s,39.54s,3.8,3.6,2.0,4.2
Zennie Pasta,https://app.zedchampions.com/horse/3d0f730f-321e-4f87-aa68-1e87335801f1,34,FINNEY,4,4.5,-,-,1052,6.8,8,25%,40.19s,39.61s,4.9,5.1,3.4,4.0
Zestful Cadmus,https://app.zedchampions.com/horse/2f170150-018c-4401-8bb0-85ab983a2670,0,FINNEY,2.5,-,-,-,-,-,0,-,-,-,-,-,-,-
